st,stateabbrv,statename,year,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
1,AL,Alabama,2001,80.977432,81.73687,83.797836,84.270462,85.225906,85.575615,86.637566,86.917931,73.857742,74.85247,79.580818,80.159592,83.17659,83.565346,84.545586,84.868271,.74982262,.74031973,.93831336,.91184264,1.1403136,1.1011853,1.4457829,1.396279,.53322417,.54530615,.76226074,.75274348,.94162405,.91399586,1.2771055,1.2381021,194089,158475,147619,120205,165515,160929,143569,113529
1,AL,Alabama,2002,81.550888,82.294128,85.195564,85.626312,86.955605,87.244286,85.938705,86.241699,73.574623,74.579124,77.988403,78.600525,83.274559,83.66674,84.385307,84.714966,.72692579,.71494401,.84758121,.82213843,1.0279411,.98826379,1.4492726,1.3982704,.52412802,.53338033,.76914632,.76046401,.89377141,.86879385,1.3131883,1.2721257,204031,162615,148026,116868,172638,163867,145058,110186
1,AL,Alabama,2003,80.669098,81.446388,84.455032,84.912849,84.418884,84.798073,87.634293,87.874893,75.406738,76.438599,79.655464,80.262939,83.429283,83.823204,83.607803,83.966675,.76012152,.74605352,.89952171,.87200522,1.1826934,1.1435566,1.2561117,1.2091342,.56126499,.56334537,.70212215,.68900096,.9721331,.94413275,1.2919756,1.2529705,207635,163953,149117,119178,174545,164215,145901,112692
1,AL,Alabama,2004,82.787102,83.548531,83.221657,83.739426,85.775658,86.119102,87.285019,87.538551,73.675529,74.749626,79.671875,80.289833,82.533165,82.965218,86.85215,87.103699,.67972732,.67026752,.97810346,.94961327,1.0854781,1.0486503,1.1966133,1.1535016,.47994298,.49334535,.79535246,.78300917,.96797001,.94219172,.93708515,.90130204,209570,166413,149730,122762,175617,165009,147526,115676
1,AL,Alabama,2005,81.994995,82.799507,84.921387,85.402199,86.136047,86.473816,87.657562,87.89859,74.46228,75.539764,79.654694,80.295036,82.112114,82.564537,85.022766,85.346405,.71376467,.6995129,.8440631,.81305182,1.0318809,.99593717,1.1854848,1.1417596,.52185315,.52978688,.7509504,.73644197,.96668983,.93913871,1.1338581,1.0954983,209463,167581,151420,126151,174581,166114,148807,119517
1,AL,Alabama,2006,83.285881,84.082619,85.27169,85.748734,85.884422,86.24054,86.512184,86.800575,74.945656,76.070381,80.806419,81.434097,82.046326,82.512825,84.20623,84.569183,.61884612,.60426176,.79273987,.76245797,1.0387409,.99901456,1.4458742,1.3920777,.52885145,.53896403,.71032888,.69353223,1.0094187,.98594755,1.1800692,1.1409297,212145,169968,152990,127068,176862,167986,150107,120803
1,AL,Alabama,2007,83.272858,84.08828,85.848579,86.322388,87.09906,87.418663,85.725471,86.048073,74.35318,75.503624,80.768105,81.416832,83.935486,84.354454,84.680466,85.036537,.64220613,.62587011,.76296169,.73314959,.9277184,.8893277,1.5269129,1.4708744,.51443005,.52487224,.75072259,.72736192,.87278426,.84346169,1.2650979,1.2223175,214855,171469,154516,129359,178491,168898,152387,123052
1,AL,Alabama,2008,82.835869,83.733818,85.339455,85.864479,85.894005,86.277481,88.87307,89.074341,74.642876,75.855446,81.057854,81.726418,84.006775,84.438728,84.945229,85.300377,.62128055,.60181952,.70972359,.67866886,1.0620931,1.0197284,1.0412433,1.0006801,.51475257,.52147698,.72741628,.70607334,.84649873,.81568635,1.1420385,1.100468,216883,173564,156158,131361,179441,170122,154409,125231
1,AL,Alabama,2009,81.354218,82.345001,84.872719,85.434631,87.535645,87.859993,87.775375,88.03273,73.709465,74.941833,79.857697,80.591591,83.800591,84.25486,84.34903,84.741585,.61983722,.60418332,.78750551,.75656736,.80622357,.77086842,1.3497788,1.2977866,.47241938,.48228633,.70001799,.68424654,.89951605,.86829573,1.2377207,1.1946988,223153,177569,160521,134806,185501,173401,158312,128004
1,AL,Alabama,2010,83.312325,84.256783,85.199356,85.767799,87.273697,87.621483,88.368103,88.602371,74.058838,75.284653,80.745026,81.463821,82.526802,83.037659,84.518532,84.908012,.59089613,.57263666,.73826188,.70345879,.81655115,.77991426,1.0663996,1.0200939,.48724696,.50355083,.72346038,.7040782,.93413258,.90329254,1.1440566,1.1020089,217680,176894,160147,135772,181890,171624,158121,129129
1,AL,Alabama,2011,83.033257,84.014854,86.132149,86.666267,87.808784,88.137947,86.60144,86.917427,75.231262,76.48452,79.529236,80.296127,83.211082,83.704224,85.067749,85.440941,.58327043,.56114143,.68384242,.64924467,.78446591,.74737537,1.4005901,1.3442795,.52081054,.52922666,.7361244,.7196902,.92292988,.88893461,1.1486773,1.1043692,214768,176507,159259,135632,179891,169612,157148,128565
1,AL,Alabama,2012,82.637779,83.655716,84.945915,85.556328,88.083588,88.403671,88.064224,88.315849,74.743202,76.034569,80.154686,80.909515,83.816254,84.291466,85.925194,86.268608,.59208035,.56781662,.78970683,.75138986,.77255553,.73537678,1.089607,1.0425128,.51403624,.5246861,.77702355,.75754339,.88503361,.8494752,1.12897,1.0832403,212421,176200,159113,136347,177669,168978,158118,129370
1,AL,Alabama,2013,82.261948,83.3256,85.248421,85.854103,88.151268,88.476341,87.022598,87.32621,74.633057,75.940033,79.244102,80.02623,82.101791,82.641304,86.200508,86.527863,.60233009,.58208108,.76045465,.72273636,.83109498,.78956163,1.4600357,1.4000714,.49237099,.50712526,.75274265,.73932707,.94649827,.91875052,1.1201284,1.0714198,211866,177250,158010,132893,182139,170724,156551,125406
1,AL,Alabama,2014,82.559486,83.608398,85.626869,86.215302,87.128548,87.500694,88.127167,88.377968,75.295845,76.568245,81.195198,81.91404,83.022316,83.525978,87.407501,87.673096,.58967394,.56175315,.67591006,.64114755,.92750937,.88382792,1.3127041,1.2576807,.52966529,.53807265,.7733959,.75071257,.9309836,.89719731,.90408051,.86117542,202399,173981,151057,128062,173448,165816,151580,119775
2,AK,Alaska,2001,86.04274,85.840439,82.337479,82.312576,84.410446,84.182457,86.759018,86.807533,78.723373,78.806793,82.599182,82.793686,80.186981,80.322922,86.098686,86.23465,1.9826117,1.9815105,2.808089,2.7496345,2.4623914,2.4410009,2.6751986,2.6140008,1.8839464,1.8405727,2.2410452,2.1747682,2.4050465,2.3635378,1.8399441,1.7814947,16152,20806,24924,31214,19190,21777,27596,31992
2,AK,Alaska,2002,86.743927,86.535408,80.760406,80.804535,89.322495,89.147659,88.568024,88.56842,78.823036,78.906013,78.463814,78.726089,84.215454,84.267609,85.552406,85.720909,1.7534955,1.763522,3.0359228,2.972307,1.8098347,1.8379091,2.1227851,2.0828969,1.8628711,1.8209285,2.1284366,2.0859966,2.1292248,2.0877798,1.9737138,1.9140344,17259,21753,25749,31301,20386,22232,28764,31934
