state,year,quartile,gender,life_expectancy
al,2001,1,female,80.977432
al,2002,1,female,81.550888
al,2003,1,female,80.669098
al,2004,1,female,82.787102
al,2005,1,female,81.994995
al,2006,1,female,83.285881
al,2007,1,female,83.272858
al,2008,1,female,82.835869
al,2009,1,female,81.354218
al,2010,1,female,83.312325
al,2011,1,female,83.033257
al,2012,1,female,82.637779
al,2013,1,female,82.261948
al,2014,1,female,82.559486
ak,2001,1,female,86.04274
ak,2002,1,female,86.743927
ak,2003,1,female,84.311386
ak,2004,1,female,83.993805
ak,2005,1,female,84.214714
ak,2006,1,female,85.223305
ak,2007,1,female,85.306244
ak,2008,1,female,84.326775
ak,2009,1,female,84.124657
ak,2010,1,female,87.260117
ak,2011,1,female,81.123444
ak,2012,1,female,80.416008
ak,2013,1,female,83.26976
ak,2014,1,female,84.132553
az,2001,1,female,83.033234
az,2002,1,female,83.237274
az,2003,1,female,81.859787
az,2004,1,female,83.175957
az,2005,1,female,83.864014
az,2006,1,female,83.317528
az,2007,1,female,84.811913
az,2008,1,female,81.606049
az,2009,1,female,83.753326
az,2010,1,female,84.311539
az,2011,1,female,83.904396
az,2012,1,female,83.215424
az,2013,1,female,83.041
az,2014,1,female,84.201355
ar,2001,1,female,81.652489
ar,2002,1,female,81.377167
ar,2003,1,female,80.17569
ar,2004,1,female,80.747734
ar,2005,1,female,80.702095
ar,2006,1,female,81.564545
ar,2007,1,female,81.787544
ar,2008,1,female,82.55587
ar,2009,1,female,81.192802
ar,2010,1,female,82.216919
ar,2011,1,female,80.603073
ar,2012,1,female,81.043877
ar,2013,1,female,81.742317
ar,2014,1,female,81.505592
ca,2001,1,female,83.777428
ca,2002,1,female,84.095955
ca,2003,1,female,84.414604
ca,2004,1,female,84.676971
ca,2005,1,female,84.858086
ca,2006,1,female,84.689766
ca,2007,1,female,85.045883
ca,2008,1,female,85.021049
ca,2009,1,female,85.14138
ca,2010,1,female,85.210075
ca,2011,1,female,85.518921
ca,2012,1,female,85.808014
ca,2013,1,female,85.514572
ca,2014,1,female,86.05307
co,2001,1,female,82.291649
co,2002,1,female,81.658173
co,2003,1,female,81.683075
co,2004,1,female,83.8853
co,2005,1,female,82.650543
co,2006,1,female,83.506577
co,2007,1,female,85.180534
co,2008,1,female,84.616394
co,2009,1,female,82.005104
co,2010,1,female,82.709801
co,2011,1,female,84.255859
co,2012,1,female,84.702888
co,2013,1,female,83.907166
co,2014,1,female,85.410828
ct,2001,1,female,80.94297
ct,2002,1,female,81.436821
ct,2003,1,female,81.505478
ct,2004,1,female,81.786491
ct,2005,1,female,82.453827
ct,2006,1,female,81.923622
ct,2007,1,female,83.114227
ct,2008,1,female,85.246117
ct,2009,1,female,81.70945
ct,2010,1,female,85.253365
ct,2011,1,female,84.850395
ct,2012,1,female,84.051323
ct,2013,1,female,84.223984
ct,2014,1,female,82.709442
de,2001,1,female,75.904274
de,2002,1,female,79.072945
de,2003,1,female,83.214394
de,2004,1,female,81.786476
de,2005,1,female,80.266113
de,2006,1,female,83.816437
de,2007,1,female,85.376892
de,2008,1,female,82.237167
de,2009,1,female,80.305206
de,2010,1,female,83.582291
de,2011,1,female,84.501183
de,2012,1,female,81.856918
de,2013,1,female,81.08197
de,2014,1,female,81.201813
dc,2001,1,female,78.145111
dc,2002,1,female,80.577751
