State,_25th_Percentile,Median,_75th_Percentile
Alabama,19000,37014,60150
Alaska,20000,41269,71113
Arizona,20000,36000,62000
Arkansas,19440,33300,59000
California,20000,39500,73483
Colorado,24202,42126,76924
Connecticut,25001,46997,80001
Delaware,20600,40000,67159
District of Columbia,30000,60000,100909
Florida,20000,36370,60239
Georgia,20000,36014,64002
Hawaii,21000,40000,71002
Idaho,19250,36518,60907
Illinois,20001,40110,70015
Indiana,19000,36755,60086
Iowa,22010,39375,61501
Kansas,20003,40000,65056
Kentucky,20000,36091,63040
Louisiana,17000,34089,60003
Maine,18510,35010,60010
Maryland,25000,48429,88220
Massachusetts,23000,45000,81051
Michigan,20000,40002,68905
Minnesota,21000,43000,71030
Mississippi,18000,32000,52025
Missouri,20000,36010,64400
Montana,20000,38001,63330
Nebraska,20050,38400,62363
Nevada,20000,35000,55134
New Hampshire,22406,45121,75000
New Jersey,22000,45035,82009
New Mexico,17800,32000,57259
New York,21532,40101,74210
North Carolina,20000,36940,64375
North Dakota,22001,40000,63705
Ohio,19500,37000,65473
Oklahoma,19000,35000,60027
Oregon,20003,40000,70200
Pennsylvania,20426,40002,70450
Rhode Island,21000,41275,70309
South Carolina,20000,38000,65037
South Dakota,20000,36952,56025
Tennessee,20000,35520,61678
Texas,19000,36008,65000
Utah,17608,37001,64202
Vermont,20505,40000,65000
Virginia,20108,42002,80010
Washington,20250,43272,78170
West Virginia,19200,35010,60016
Wisconsin,19500,36000,60002
Wyoming,18536,37501,65001
