,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,NorthDakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
 1%,0,286,0,0,0,0,2000,800,0,0,0,0,111,25,0,400,337,0,0,598,0,4,0,0,0,0,1,1,0,800,0,0,0,10,208,0,0,0,0,0,0,0,2,2,200,0,0,119,0,0,400
 2%,360,1000,25,1200,100,1002,3000,2400,1000,752,600,130,1000,1067,800,1905,1200,1030,200,2701,928,1011,800,800,0,750,1000,1000,52,2080,1064,600,873,704,2000,1040,302,256,580,1349,500,1200,540,755,1421,900,440,1000,30,953,1600
 3%,1000,2542,680,2600,1150,2000,4070,4002,2500,2000,1750,1500,2000,2001,1650,2800,2500,2000,1000,4000,1896,3000,1500,2427,820,2500,1951,2400,720,3200,2000,1500,2000,2003,2500,2405,1500,900,1500,2121,1421,2400,2000,1939,2400,2002,1105,2421,1000,2979,2500
 4%,2511,4000,1500,4000,2200,3000,5000,5442,4001,2800,2800,3200,3019,3060,3001,3500,3915,3000,2000,4260,3214,4172,2004,4000,2000,3400,3000,3021,2500,5140,3600,3600,3001,3500,4000,4000,2500,1800,2500,4000,2500,4006,3002,3000,3525,3000,2028,4000,2000,3811,4000
 5%,3600,5300,2476,5400,3411,4015,6501,6021,5404,4000,3015,4226,3820,4501,4500,4451,5005,3600,3000,5000,4800,5069,3200,5367,3300,5002,4002,3802,4001,6002,4424,4344,4002,4010,5500,4688,3502,3205,3600,4520,3502,5000,4130,4000,4805,3388,3200,5000,3000,5000,5340
 6%,4460,6072,3502,6001,4800,5360,7500,9005,7000,5000,4200,5344,5002,5035,5202,6000,6502,4000,4000,6202,7100,6257,4100,7495,4812,6001,5251,5010,5000,7084,5350,5000,5002,5000,7001,5304,5084,4368,5000,5030,4600,8000,5000,5000,5961,4281,4208,6300,3500,5760,6803
 7%,5380,7700,4070,7411,5252,7200,8092,10000,8010,6000,5590,6602,6008,6550,6026,7000,8000,5000,4800,7201,8400,7500,5301,8500,5700,7200,6750,6740,6000,8000,7400,5811,6210,6000,8300,6500,6008,5054,5770,6051,5000,8200,6000,6000,6765,5955,6000,8000,5000,6125,8000
 8%,6411,8655,4888,8500,6475,8510,10000,11000,10000,7150,7000,7800,6900,8000,7625,7493,9002,5442,5400,8000,10000,8700,6000,9199,6350,9431,7608,8227,7000,9000,8500,6777,7500,7000,9461,7200,8300,6060,6700,7004,5824,9500,7560,7500,7504,6550,7503,9000,5756,8000,9000
 9%,7200,10000,5001,9935,7700,10000,10200,12000,10400,8004,8500,9000,8001,9000,8400,9500,10000,6816,7000,8120,10960,10000,7500,10004,7600,10000,8800,9201,7800,10024,10000,7800,8203,8000,10196,8011,9509,7200,7540,8214,7200,10000,8744,8800,8200,8000,8503,9266,6350,9000,10001
10%,8425,11072,6505,10002,8500,10108,11141,13000,12000,9500,9011,10000,9000,10000,9104,10200,10100,7912,8000,9005,12001,10961,8500,11133,8260,10410,9999,10000,8908,11000,10002,8520,10000,9100,12000,9350,10000,8001,8176,9360,8000,10400,10000,10000,9000,10000,10000,10000,7500,10000,10401
11%,10000,12072,7500,11000,9600,12000,12000,14000,12510,10000,10000,10280,10000,10126,10001,11005,11002,8701,8700,10000,13001,12026,9400,12003,9680,11579,10002,10500,10000,12000,11000,9520,10020,10000,12501,10000,11000,8760,9201,10000,9000,11588,10000,10010,10000,10268,10977,10500,8700,10071,12004
12%,10000,13000,8005,12000,10000,13000,12500,15000,14001,10500,10050,11000,10097,11017,10505,12500,12000,9554,10000,10200,14019,13020,10081,13000,10000,12400,10859,11610,10002,13000,12000,10000,11000,11000,14000,10500,12000,9800,10000,10680,10000,12500,11255,11070,10002,11084,12002,11654,9500,11000,13000
13%,11000,13834,9600,12500,10450,14500,13213,15000,15000,11665,11200,12000,11388,12000,12000,13966,12600,10000,10000,10868,15000,14000,11000,13800,10030,13250,11856,12252,11500,14001,12906,10800,12000,11658,14207,11380,12257,10080,10471,11376,10008,13515,12000,12000,10800,12065,13050,12920,10000,12000,13770
14%,12000,15022,10007,13000,11575,16000,15000,15616,15772,12000,12000,12059,12001,12500,12052,14705,13519,10057,10500,12000,15002,14561,11662,15000,11000,14470,12500,13500,12000,15000,14000,11501,12800,12000,15000,12001,13400,10896,11410,12000,10500,15000,12360,12604,12000,13000,14360,14066,10196,13000,14520
15%,13000,16000,11200,14000,12000,17501,15105,16102,17000,12920,12345,13108,12500,13400,13000,15001,14810,11125,11400,12430,16003,15002,12002,15400,11940,15031,13000,14000,13000,16000,15000,12000,13985,13303,15020,13000,14040,11824,12000,12500,12000,15020,13000,13300,13000,13816,15000,15000,11644,14029,15001
16%,13758,17088,12003,14400,13000,18020,15867,17576,18018,14000,13005,14002,13703,14426,13623,15158,15006,12000,12031,13000,18000,16000,12918,16200,12002,15801,14000,14569,14100,17000,15623,12445,14953,14219,16001,13500,14800,12174,12942,14511,12870,17105,13401,14150,14000,15000,15205,15826,12000,15000,16000
17%,15000,18000,13002,15000,14000,20000,16484,18000,19700,15000,14001,15000,14848,15000,14795,16002,15600,12858,13005,14010,18200,17230,13625,17000,12801,16605,14510,15001,15000,18000,17000,13250,15000,15000,17500,14307,15000,13000,13579,15021,13600,18000,14000,15000,14700,15433,16002,16402,12546,15396,16296
18%,15000,19073,14500,15000,15000,20000,17115,18002,20000,15000,15000,15002,15000,16000,15000,17024,16300,14000,14014,14150,19134,18002,15000,18000,13250,17800,15000,15500,15000,18220,18000,14000,15619,15016,18000,15000,15500,13775,14636,16600,14147,19000,15000,15040,15000,16200,17600,17492,13500,16480,17000
19%,15253,20000,15000,15609,15000,20012,18090,19200,20700,15600,15200,16000,15010,17000,15100,18089,17000,15000,15000,15000,20000,18841,15002,19610,14000,18012,15433,16005,16000,19002,19400,15000,16515,16000,18545,15006,16000,15000,15000,17000,15000,19361,16000,16000,16000,17778,18005,18002,14241,17001,18000
20%,16198,20090,15022,16260,15800,21000,19320,20000,22000,16024,16000,16500,15708,18000,16000,20000,18000,15003,15102,16002,20001,20000,15464,20000,15000,19003,16030,17000,17000,20000,20000,15000,17784,16500,20000,16000,16800,15214,15400,18004,15000,20001,16704,17000,16500,18101,19128,19000,15002,18004,19000
21%,17757,20869,15873,17000,16482,21760,20000,20037,23000,17000,17000,18000,16600,19000,17000,20000,18407,16000,16001,17000,20800,20000,16002,20200,15000,20000,17000,18000,17500,20300,20000,15050,18012,18000,20003,16930,17240,16400,16800,19352,15363,20035,17520,18000,17762,19242,20000,20000,16000,19540,20000
22%,18004,21611,16859,18000,17260,22012,20050,21000,24000,18000,17500,18010,17316,19759,17500,20008,19200,16835,17000,17340,21060,20015,17002,21600,15600,20300,17939,19025,18000,22000,20034,16000,19000,18720,20760,18000,18000,17126,17327,20000,16640,20960,18002,18016,18024,20000,20200,20281,16501,20000,20000
23%,18900,22000,17602,18002,18000,23000,21000,22412,25000,18200,18000,19049,18000,20000,18000,21042,20000,17800,17664,18001,22000,20800,18024,22284,16000,21902,18105,20000,18005,23000,20860,16800,20000,19300,21210,18682,19000,17840,18032,20002,17160,22000,19000,19180,19060,20002,21016,21688,17000,20021,20800
24%,20000,22090,18002,18705,18720,23903,22400,23001,25200,19425,19000,20000,18222,20002,18872,22000,20027,18849,18010,18050,22876,22000,19152,23320,17000,22005,19104,20000,18720,24000,22000,17160,20010,20000,22021,19615,19295,18622,19003,20201,18000,22314,19200,20000,19800,20961,22000,22025,18000,20800,22000
25%,20000,23320,18808,19456,19629,24450,23000,24000,27000,20000,20000,20002,19000,21000,19500,22882,20823,20000,19400,18950,23522,23000,20000,24041,17510,22800,20000,20360,20000,24962,23000,18001,20800,20000,23000,20000,20000,19425,20000,21010,18720,23010,20000,20000,20000,22005,23000,23186,18500,21003,22169
26%,20460,24072,20000,20000,20000,25000,24403,24500,28018,20000,20000,20634,19351,22000,20000,23272,22000,20000,20000,20001,24245,24000,20001,25000,18000,23348,20010,21031,20000,25000,24000,19000,21783,20026,24000,20025,20038,20000,20005,22000,19700,24000,20005,20200,20000,23000,24000,24047,19002,22084,23000
27%,21003,25000,20000,20002,20000,25525,25000,25000,30000,20010,20725,21250,20000,22688,20300,24005,22700,20476,20000,20040,25000,24768,20203,25008,18600,24000,20501,22007,20000,25405,25000,19644,22248,20500,24816,20800,20900,20000,21001,22306,20000,24318,20900,21008,20001,23380,25000,25000,20000,23000,24000
28%,22000,25500,20003,21000,20280,26235,25010,25000,30000,20900,21115,22000,20000,23600,21652,25000,23525,21600,20119,20810,25337,25000,21286,25531,19200,24911,21000,23031,20010,26005,25002,20000,23200,21202,25000,21500,21000,20235,22004,23000,20005,25000,21660,22000,21000,24000,25000,25002,20017,23630,24311
29%,22510,26033,21000,21853,21376,27001,25703,25505,31000,22000,22000,23040,20001,24084,22316,25001,24000,22000,21189,22115,26100,25150,22050,26005,20000,25000,21625,24000,21188,27000,25850,20000,24237,22002,25002,22294,21854,20801,22849,24000,20880,25000,22731,23000,22000,25000,25005,25984,20800,24105,25000
30%,23000,27002,21780,22436,22002,28000,27000,26200,32000,22672,22820,24000,20600,25000,22805,25225,25000,23213,22001,23041,27679,26090,23000,26602,20000,25016,22221,24617,21851,27270,26502,20200,25000,23000,25500,23020,22010,22000,23712,25000,21835,25014,23826,24000,23000,25000,26000,26050,21432,25000,25025
31%,23352,27800,22010,23000,23000,29017,28071,27502,33280,23525,23265,24222,22000,25006,23174,26002,25000,24000,23000,24000,28233,27330,23900,28000,20100,26000,23000,25000,22896,28305,28000,21045,25017,23591,26366,24000,22520,22362,24027,25025,22400,25720,24200,24743,24000,25034,26700,27000,22010,25001,25582
32%,24002,28322,23000,24000,24000,30000,28400,28000,35000,24002,24002,25000,22060,26000,24000,27000,25020,24002,24000,24013,30000,28500,24432,28879,20800,27000,24000,25140,23331,29260,28800,22000,26000,24027,27144,24756,23688,23000,25000,26001,22800,26002,25000,25000,25000,25948,27001,27750,22500,25525,26002
33%,25000,29572,24000,25000,25000,30000,29471,29002,35025,25000,24960,25002,23000,27000,25000,28000,25502,24399,25000,24500,30000,30000,25000,30000,21500,27505,24021,26100,24000,30000,30000,22500,27000,25000,28000,25000,24003,24000,25005,26900,24003,27010,25010,25003,25000,27001,28000,28006,23038,26262,26944
34%,25000,30001,24252,25000,25000,30010,30001,30000,37022,25000,25000,25207,24000,28000,25025,28010,26000,25000,25000,25000,30003,30014,25025,30002,22032,28024,24801,27311,25000,30010,30000,23400,28000,25000,29000,25002,25000,24792,25800,28000,24855,27760,25678,26000,25018,27890,28960,29255,24000,27001,28000
35%,25018,30162,25000,25024,25003,31000,30138,30000,38010,25032,25005,26000,24325,29003,25600,28724,26896,25000,25150,25010,30600,30260,25652,30223,23001,28507,25000,28428,25000,30925,30029,24000,29000,25028,29788,26000,25000,25000,26500,28195,25000,28100,26260,26996,26000,28001,30000,30000,24972,27501,28200
36%,25520,31665,25012,25400,26000,31200,31057,30000,40000,26000,25400,27581,25000,30000,26261,29503,27900,25500,26000,26054,32000,31110,26506,31190,24000,29901,25015,29008,25050,31200,31096,25000,30000,26003,30000,27000,25505,25064,27310,29088,25173,29520,27000,28000,26700,28650,30007,30010,25000,28029,29074
37%,26001,32072,26000,26000,27000,32000,32007,30003,40020,26811,26010,28795,25048,30004,27005,30000,28170,26001,27000,27380,32505,32030,27700,32000,24251,30000,26000,30000,26000,32010,32015,25000,30000,27000,30000,27700,26059,26000,28000,30000,26000,30000,27072,28605,28000,29920,31002,31000,25470,29000,30000
